WV;l;{ts '2016-11-09 15:25:15'}
WV577311108;Clinton;Hillary;|WV570481108;Trump;Donald;|WV577321108;Johnson;Gary;|WV577671108;Stein;Jill;|WV577831108;Castle;Darrell;|WV570601108;Justice;Jim;|WV570581108;Cole;Bill;|WV577621108;Pritt;Charlotte;|WV577841108;Hudok;Phil;|WV577341108;Moran;David;|WV570821108;Manypenny;Mike;|WV567401108;McKinley;David;|WV570841108;Hunt;Mark;|WV567381108;Mooney;Alex;|WV570911108;Detch;Matt;|WV567391108;Jenkins;Evan;|WV577331108;Lawhorn;Zane;
WV;G;G;54017;Doddridge;X;100.0;X;;49136;;||WV570601108;Dem;900;31.7;X;X;;;1|WV570581108;GOP;1731;60.9;;X;;;2|WV577621108;Mnt;142;5.0;;X;;;3|WV577841108;CST;14;0.5;;X;;;4|WV577341108;Lib;55;1.9;;X;;;5
WV;G;G;54019;Fayette;X;100.0;X;;49136;;||WV570601108;Dem;9545;62.1;X;X;;;1|WV570581108;GOP;4512;29.4;;X;;;2|WV577621108;Mnt;997;6.5;;X;;;3|WV577841108;CST;80;0.5;;X;;;4|WV577341108;Lib;236;1.5;;X;;;5
WV;G;G;54021;Gilmer;X;100.0;X;;49136;;||WV570601108;Dem;1188;46.6;X;X;;;1|WV570581108;GOP;1111;43.6;;X;;;2|WV577621108;Mnt;169;6.6;;X;;;3|WV577841108;CST;26;1.0;;X;;;4|WV577341108;Lib;56;2.2;;X;;;5
WV;G;G;54023;Grant;X;100.0;X;;49136;;||WV570601108;Dem;1309;27.6;X;X;;;1|WV570581108;GOP;3196;67.4;;X;;;2|WV577621108;Mnt;100;2.1;;X;;;3|WV577841108;CST;24;0.5;;X;;;4|WV577341108;Lib;112;2.4;;X;;;5
WV;G;G;54025;Greenbrier;X;100.0;X;;49136;;||WV570601108;Dem;8555;60.6;X;X;;;1|WV570581108;GOP;4325;30.7;;X;;;2|WV577621108;Mnt;994;7.0;;X;;;3|WV577841108;CST;54;0.4;;X;;;4|WV577341108;Lib;179;1.3;;X;;;5
WV;G;G;54027;Hampshire;X;100.0;X;;49136;;||WV570601108;Dem;2529;30.2;X;X;;;1|WV570581108;GOP;5201;62.1;;X;;;2|WV577621108;Mnt;377;4.5;;X;;;3|WV577841108;CST;42;0.5;;X;;;4|WV577341108;Lib;230;2.7;;X;;;5
WV;G;G;54029;Hancock;X;100.0;X;;49136;;||WV570601108;Dem;5295;42.8;X;X;;;1|WV570581108;GOP;5968;48.2;;X;;;2|WV577621108;Mnt;683;5.5;;X;;;3|WV577841108;CST;121;1.0;;X;;;4|WV577341108;Lib;308;2.5;;X;;;5
WV;G;G;54031;Hardy;X;100.0;X;;49136;;||WV570601108;Dem;2380;40.2;X;X;;;1|WV570581108;GOP;3215;54.3;;X;;;2|WV577621108;Mnt;187;3.2;;X;;;3|WV577841108;CST;25;0.4;;X;;;4|WV577341108;Lib;118;2.0;;X;;;5
WV;G;G;54033;Harrison;X;100.0;X;;49136;;||WV570601108;Dem;14280;50.7;X;X;;;1|WV570581108;GOP;11873;42.1;;X;;;2|WV577621108;Mnt;1270;4.5;;X;;;3|WV577841108;CST;176;0.6;;X;;;4|WV577341108;Lib;590;2.1;;X;;;5
WV;G;G;54035;Jackson;X;100.0;X;;49136;;||WV570601108;Dem;6166;50.5;X;X;;;1|WV570581108;GOP;5088;41.7;;X;;;2|WV577621108;Mnt;794;6.5;;X;;;3|WV577841108;CST;37;0.3;;X;;;4|WV577341108;Lib;130;1.1;;X;;;5
WV;G;G;54037;Jefferson;X;100.0;X;;49136;;||WV570601108;Dem;9535;40.2;X;X;;;1|WV570581108;GOP;11547;48.7;;X;;;2|WV577621108;Mnt;1617;6.8;;X;;;3|WV577841108;CST;109;0.5;;X;;;4|WV577341108;Lib;887;3.7;;X;;;5
WV;G;G;54039;Kanawha;X;100.0;X;;49136;;||WV570601108;Dem;44393;58.6;X;X;;;1|WV570581108;GOP;23612;31.2;;X;;;2|WV577621108;Mnt;6595;8.7;;X;;;3|WV577841108;CST;209;0.3;;X;;;4|WV577341108;Lib;911;1.2;;X;;;5
WV;G;G;54041;Lewis;X;100.0;X;;49136;;||WV570601108;Dem;3201;46.2;X;X;;;1|WV570581108;GOP;3279;47.4;;X;;;2|WV577621108;Mnt;300;4.3;;X;;;3|WV577841108;CST;34;0.5;;X;;;4|WV577341108;Lib;110;1.6;;X;;;5
WV;G;G;54043;Lincoln;X;100.0;X;;49136;;||WV570601108;Dem;4102;57.7;X;X;;;1|WV570581108;GOP;2503;35.2;;X;;;2|WV577621108;Mnt;400;5.6;;X;;;3|WV577841108;CST;32;0.5;;X;;;4|WV577341108;Lib;68;1.0;;X;;;5
WV;G;G;54045;Logan;X;100.0;X;;49136;;||WV570601108;Dem;6761;55.5;X;X;;;1|WV570581108;GOP;4482;36.8;;X;;;2|WV577621108;Mnt;784;6.4;;X;;;3|WV577841108;CST;29;0.2;;X;;;4|WV577341108;Lib;117;1.0;;X;;;5
WV;G;G;54049;Marion;X;100.0;X;;49136;;||WV570601108;Dem;12098;52.5;X;X;;;1|WV570581108;GOP;8908;38.6;;X;;;2|WV577621108;Mnt;1269;5.5;;X;;;3|WV577841108;CST;135;0.6;;X;;;4|WV577341108;Lib;640;2.8;;X;;;5
WV;G;G;54051;Marshall;X;100.0;X;;49136;;||WV570601108;Dem;6441;49.5;X;X;;;1|WV570581108;GOP;5640;43.4;;X;;;2|WV577621108;Mnt;627;4.8;;X;;;3|WV577841108;CST;67;0.5;;X;;;4|WV577341108;Lib;225;1.7;;X;;;5
WV;G;G;54053;Mason;X;100.0;X;;49136;;||WV570601108;Dem;5534;54.3;X;X;;;1|WV570581108;GOP;4033;39.6;;X;;;2|WV577621108;Mnt;454;4.5;;X;;;3|WV577841108;CST;43;0.4;;X;;;4|WV577341108;Lib;123;1.2;;X;;;5
